Secretaria;N˙mero do Processo;Modalidade de ContrataÁ„o;Empresa Contratada;CPF / CNPJ / CGC;DescriÁ„o Processo;Item / Finalidade;Quantidade Item; Valor Unit·rio ; Valor R$ Empenho ;Nota de Empenho;Data Emiss„o do Pagamento;Tipo de Documento do Pagamento; Valor NE ; Valor NL ; Valor NP ; Valor OB ;CÛdigo UG Documento;CÛdigo Fonte Recurso;Sistema Origem NE;Nome Poder;Local Entrega
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;1;R$40.280.955,00;R$121.508.955,00;2020NE00121;01/04/2020;NE;R$40.280.955,00; R$-   ; R$-   ; R$-   ;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;0; R$-   ;R$121.508.955,00;2020NE00121;24/04/2020;NL; R$-   ;R$12.632.235,00; R$-   ; R$-   ;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;0; R$-   ;R$121.508.955,00;2020NE00121;24/04/2020;OB; R$-   ; R$-   ; R$-   ;R$12.632.235,00;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;1;R$947.045,00;R$121.508.955,00;2020NE00121;28/04/2020;NE;R$947.045,00; R$-   ; R$-   ; R$-   ;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;0; R$-   ;R$121.508.955,00;2020NE00121;28/04/2020;NL; R$-   ;R$28.595.765,00; R$-   ; R$-   ;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;0; R$-   ;R$121.508.955,00;2020NE00121;28/04/2020;OB; R$-   ; R$-   ; R$-   ;R$28.595.765,00;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;1; R$-   ;R$121.508.955,00;2020NE00181;01/05/2020;NE; R$-   ; R$-   ; R$-   ; R$-   ;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;1; R$-   ;R$121.508.955,00;2020NE00191;01/05/2020;NE; R$-   ; R$-   ; R$-   ; R$-   ;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA EDUCACAO;20407/20;DISPENSA DE LICITACAO;PICPAY SERVICOS S/A;22.896.431/0001-10;MERENDA EM CASA;MERENDA EM CASA;1;R$40.000.000,00;R$121.508.955,00;2020NE00193;01/06/2020;NE;R$40.000.000,00; R$-   ; R$-   ; R$-   ;80358;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2016199;INDEPEND LICITACAO;FUNDACAO BUTANTAN;61.189.445/0001-56;CONVENIO CUSTEIO COVID19;CONVENIO CUSTEIO;1;R$85.000.000,00;R$85.000.000,00;2020NE10079;01/06/2020;NE;R$85.000.000,00; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2016199;INDEPEND LICITACAO;FUNDACAO BUTANTAN;61.189.445/0001-56;CONVENIO CUSTEIO COVID19;CONVENIO CUSTEIO;0; R$-   ;R$85.000.000,00;2020NE10079;01/06/2020;NL; R$-   ;R$85.000.000,00; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2016199;INDEPEND LICITACAO;FUNDACAO BUTANTAN;61.189.445/0001-56;CONVENIO CUSTEIO COVID19;CONVENIO CUSTEIO;0; R$-   ;R$85.000.000,00;2020NE10079;05/06/2020;OB; R$-   ; R$-   ; R$-   ;R$85.000.000,00;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2014809C;INDEPEND LICITACAO;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;CONV NIO CUSTEIO;CONV NIO;1;R$25.390.191,48;R$76.170.575,48;2020NE05451;07/04/2020;NE;R$25.390.191,48; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2014809C;INDEPEND LICITACAO;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;CONV NIO CUSTEIO;CONV NIO;0; R$-   ;R$76.170.575,48;2020NE05451;07/04/2020;NL; R$-   ;R$25.390.191,48; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2014809C;INDEPEND LICITACAO;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;CONV NIO CUSTEIO;CONV NIO;0; R$-   ;R$76.170.575,48;2020NE05451;08/04/2020;OB; R$-   ; R$-   ; R$-   ;R$25.390.191,48;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2014809C;INDEPEND LICITACAO;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;CONV NIO CUSTEIO;CONV NIO;1;R$25.390.192,00;R$76.170.575,48;2020NE06597;06/05/2020;NE;R$25.390.192,00; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2014809C;INDEPEND LICITACAO;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;CONV NIO CUSTEIO;CONV NIO;0; R$-   ;R$76.170.575,48;2020NE06597;06/05/2020;NL; R$-   ;R$25.390.192,00; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2014809C;INDEPEND LICITACAO;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;CONV NIO CUSTEIO;CONV NIO;0; R$-   ;R$76.170.575,48;2020NE06597;07/05/2020;OB; R$-   ; R$-   ; R$-   ;R$25.390.192,00;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2014809C;INDEPEND LICITACAO;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;CONV NIO CUSTEIO;CONV NIO;1;R$25.390.192,00;R$76.170.575,48;2020NE10577;03/06/2020;NE;R$25.390.192,00; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2014809C;INDEPEND LICITACAO;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;CONV NIO CUSTEIO;CONV NIO;0; R$-   ;R$76.170.575,48;2020NE10577;03/06/2020;NL; R$-   ;R$25.390.192,00; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;2014809C;INDEPEND LICITACAO;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;CONV NIO CUSTEIO;CONV NIO;0; R$-   ;R$76.170.575,48;2020NE10577;04/06/2020;OB; R$-   ; R$-   ; R$-   ;R$25.390.192,00;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;1;R$11.724.827,36;R$75.224.827,36;2020NE05327;30/03/2020;NE;R$11.724.827,36; R$-   ; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE05327;30/03/2020;NL; R$-   ;R$11.724.827,36; R$-   ; R$-   ;90196;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;1;R$20.000.000,00;R$75.224.827,36;2020NE05437;06/04/2020;NE;R$20.000.000,00; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE05437;06/04/2020;NL; R$-   ;R$20.000.000,00; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE05437;06/04/2020;OB; R$-   ; R$-   ; R$-   ;R$20.000.000,00;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;1;R$500.000,00;R$75.224.827,36;2020NE05674;09/04/2020;NE;R$500.000,00; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE05674;09/04/2020;NL; R$-   ;R$500.000,00; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE05674;09/04/2020;OB; R$-   ; R$-   ; R$-   ;R$500.000,00;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;1;R$3.000.000,00;R$75.224.827,36;2020NE06000;09/04/2020;NE;R$3.000.000,00; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE06000;09/04/2020;NL; R$-   ;R$3.000.000,00; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE06000;09/04/2020;NP; R$-   ; R$-   ;R$3.000.000,00; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;1;R$20.000.000,00;R$75.224.827,36;2020NE06429;05/05/2020;NE;R$20.000.000,00; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE06429;05/05/2020;NL; R$-   ;R$20.000.000,00; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE06429;05/05/2020;OB; R$-   ; R$-   ; R$-   ;R$20.000.000,00;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;1;R$20.000.000,00;R$75.224.827,36;2020NE10686;08/06/2020;NE;R$20.000.000,00; R$-   ; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE10686;08/06/2020;NL; R$-   ;R$20.000.000,00; R$-   ; R$-   ;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;COVID-19;INDEPEND LICITACAO;FUNDO MUNICIPAL DE SAUDE FMS;13.864.377/0001-30;ENFRENTAMENTO COVID-19;ENFRENTAMENTO COVID-19;0; R$-   ;R$75.224.827,36;2020NE10686;08/06/2020;OB; R$-   ; R$-   ; R$-   ;R$20.000.000,00;90196;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;202014303;DISPENSA DE LICITACAO;ILLEC INTERNATIONAL LIMITED - BRASIL;84.451.012/0001-22;AQUISICAO DE MASCARAS - IMPORTACAO;AQUISICAO DE MATERIAIS - MASCARAS;1;R$67.240.268,16;R$67.240.268,16;2020NE00482;27/03/2020;NE;R$67.240.268,16; R$-   ; R$-   ; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;202014303;DISPENSA DE LICITACAO;ILLEC INTERNATIONAL LIMITED - BRASIL;84.451.012/0001-22;AQUISICAO DE MASCARAS - IMPORTACAO;AQUISICAO DE MATERIAIS - MASCARAS;0; R$-   ;R$67.240.268,16;2020NE00482;27/03/2020;NL; R$-   ;-R$67.240.268,16; R$-   ; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;202014303;DISPENSA DE LICITACAO;ILLEC INTERNATIONAL LIMITED - BRASIL;84.451.012/0001-22;AQUISICAO DE MASCARAS - IMPORTACAO;AQUISICAO DE MATERIAIS - MASCARAS;0; R$-   ;R$67.240.268,16;2020NE00482;27/03/2020;NL; R$-   ;R$67.240.268,16; R$-   ; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;202014303;DISPENSA DE LICITACAO;ILLEC INTERNATIONAL LIMITED - BRASIL;84.451.012/0001-22;AQUISICAO DE MASCARAS - IMPORTACAO;AQUISICAO DE MATERIAIS - MASCARAS;0; R$-   ;R$67.240.268,16;2020NE00482;27/03/2020;NL; R$-   ;R$67.240.268,16; R$-   ; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;202014303;DISPENSA DE LICITACAO;ILLEC INTERNATIONAL LIMITED - BRASIL;84.451.012/0001-22;AQUISICAO DE MASCARAS - IMPORTACAO;AQUISICAO DE MATERIAIS - MASCARAS;0; R$-   ;R$67.240.268,16;2020NE00482;27/03/2020;NP; R$-   ; R$-   ;R$67.240.268,16; R$-   ;90102;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA FAZENDA E PLANEJAMENTO;817331-99;INEXIGIVEL;SECRETARIA DO EMPREGO E RELACAO DO TRABALHO;46.385.100/0001-84;PROJ DO FUNDO DE INVEST E CRED PROD POP DE SP;PROJETO DO FUNDO DE INVESTIMENTO E CREDITO PRODUTIVO POPULAR DE SAO PAULO -  BANCO DO POVO.;1;R$10.000.000,00;R$62.000.000,00;2020NE00068;02/03/2020;NE;R$10.000.000,00; R$-   ; R$-   ; R$-   ;200101;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA FAZENDA E PLANEJAMENTO;817331-99;INEXIGIVEL;SECRETARIA DO EMPREGO E RELACAO DO TRABALHO;46.385.100/0001-84;PROJ DO FUNDO DE INVEST E CRED PROD POP DE SP;PROJETO DO FUNDO DE INVESTIMENTO E CREDITO PRODUTIVO POPULAR DE SAO PAULO -  BANCO DO POVO.;0; R$-   ;R$62.000.000,00;2020NE00068;13/03/2020;NL; R$-   ;R$10.000.000,00; R$-   ; R$-   ;200101;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA FAZENDA E PLANEJAMENTO;817331-99;INEXIGIVEL;SECRETARIA DO EMPREGO E RELACAO DO TRABALHO;46.385.100/0001-84;PROJ DO FUNDO DE INVEST E CRED PROD POP DE SP;PROJETO DO FUNDO DE INVESTIMENTO E CREDITO PRODUTIVO POPULAR DE SAO PAULO -  BANCO DO POVO.;0; R$-   ;R$62.000.000,00;2020NE00068;13/03/2020;OB; R$-   ; R$-   ; R$-   ;R$10.000.000,00;200101;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA FAZENDA E PLANEJAMENTO;817331-99;INEXIGIVEL;SECRETARIA DO EMPREGO E RELACAO DO TRABALHO;46.385.100/0001-84;PROJ DO FUNDO DE INVEST E CRED PROD POP DE SP;PROJETO DO FUNDO DE INVESTIMENTO E CREDITO PRODUTIVO POPULAR DE SAO PAULO -  BANCO DO POVO.;1;R$25.000.000,00;R$62.000.000,00;2020NE00077;19/03/2020;NE;R$25.000.000,00; R$-   ; R$-   ; R$-   ;200101;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA FAZENDA E PLANEJAMENTO;817331-99;INEXIGIVEL;SECRETARIA DO EMPREGO E RELACAO DO TRABALHO;46.385.100/0001-84;PROJ DO FUNDO DE INVEST E CRED PROD POP DE SP;PROJETO DO FUNDO DE INVESTIMENTO E CREDITO PRODUTIVO POPULAR DE SAO PAULO -  BANCO DO POVO.;0; R$-   ;R$62.000.000,00;2020NE00077;20/03/2020;NL; R$-   ;R$25.000.000,00; R$-   ; R$-   ;200101;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA FAZENDA E PLANEJAMENTO;817331-99;INEXIGIVEL;SECRETARIA DO EMPREGO E RELACAO DO TRABALHO;46.385.100/0001-84;PROJ DO FUNDO DE INVEST E CRED PROD POP DE SP;PROJETO DO FUNDO DE INVESTIMENTO E CREDITO PRODUTIVO POPULAR DE SAO PAULO -  BANCO DO POVO.;0; R$-   ;R$62.000.000,00;2020NE00077;20/03/2020;OB; R$-   ; R$-   ; R$-   ;R$25.000.000,00;200101;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA FAZENDA E PLANEJAMENTO;817331-99;INEXIGIVEL;SECRETARIA DO EMPREGO E RELACAO DO TRABALHO;46.385.100/0001-84;PROJ DO FUNDO DE INVEST E CRED PROD POP DE SP;PROJETO DO FUNDO DE INVESTIMENTO E CREDITO PRODUTIVO POPULAR DE SAO PAULO -  BANCO DO POVO.;1;R$27.000.000,00;R$62.000.000,00;2020NE00083;25/03/2020;NE;R$27.000.000,00; R$-   ; R$-   ; R$-   ;200101;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA FAZENDA E PLANEJAMENTO;817331-99;INEXIGIVEL;SECRETARIA DO EMPREGO E RELACAO DO TRABALHO;46.385.100/0001-84;PROJ DO FUNDO DE INVEST E CRED PROD POP DE SP;PROJETO DO FUNDO DE INVESTIMENTO E CREDITO PRODUTIVO POPULAR DE SAO PAULO -  BANCO DO POVO.;0; R$-   ;R$62.000.000,00;2020NE00083;25/03/2020;NL; R$-   ;R$27.000.000,00; R$-   ; R$-   ;200101;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA FAZENDA E PLANEJAMENTO;817331-99;INEXIGIVEL;SECRETARIA DO EMPREGO E RELACAO DO TRABALHO;46.385.100/0001-84;PROJ DO FUNDO DE INVEST E CRED PROD POP DE SP;PROJETO DO FUNDO DE INVESTIMENTO E CREDITO PRODUTIVO POPULAR DE SAO PAULO -  BANCO DO POVO.;0; R$-   ;R$62.000.000,00;2020NE00083;25/03/2020;OB; R$-   ; R$-   ; R$-   ;R$27.000.000,00;200101;1;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;108035220;INEXIGIVEL;SECONCI - SERV SOCIAL IND CONST MOBIL. EST SP;61.687.356/0001-30;CUSTEIO P/ ATENDER HOSP. CAMPANHA IBIRAPUERA;CONVENIO PARA ATENDER REPASSE DE RECURSOS AO HOSPITAL DE CAMPANHA DO IBIRAPUERA NO EXERCÌCIO DE 2020.;1;R$61.377.328,78;R$61.377.328,78;2020NE00444;30/04/2020;NE;R$61.377.328,78; R$-   ; R$-   ; R$-   ;90192;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
SECRETARIA DA SAUDE;108035220;INEXIGIVEL;SECONCI - SERV SOCIAL IND CONST MOBIL. EST SP;61.687.356/0001-30;CUSTEIO P/ ATENDER HOSP. CAMPANHA IBIRAPUERA;CONVENIO PARA ATENDER REPASSE DE RECURSOS AO HOSPITAL DE CAMPANHA DO IBIRAPUERA NO EXERCÌCIO DE 2020.;0; R$-   ;R$61.377.328,78;2020NE00444;30/04/2020;NL; R$-   ;R$11.377.328,78; R$-   ; R$-   ;90192;5;SIAFEM;PODER EXECUTIVO;SAO PAULO
